id, author, latitude, longitude
0, Hsieh  Hung-Nien, 24.80361, 120.96861
1, Hu  Tai-Shan, 24.80361, 120.96861
2, Chia  Ping-Ching, 24.80361, 120.96861
3, Liu  Chieh-Chung, 24.80361, 120.96861
4, Tian  Qing, 24.94829, 121.35251
5, Chen  Songcan, 24.94829, 121.35251
6, Tan  Xiaoyang, 24.94829, 121.35251
7, Thorndahl  Soren, 39.29156, -121.47747
8, Smith  James A., -25.85, 30.95
9, Baeck  Mary Lynn, -25.85, 30.95
10, Krajewski  Witold F., 39.29156, -121.47747
11, Liu  Yuyun, 30.72608, 108.67483
12, Wang  Lin, 30.72608, 108.67483
13, Zhou  Wen, 22.28455, 114.1582
14, Chen  Wen, 30.72608, 108.67483
15, Manca  Germana, -30.24671, 27.03918
16, Attaway  David F., -33.56804, 26.82476
17, Waters  Nigel, -33.56804, 26.82476
18, Braham  Cheikh-Baye, 20.93098, -17.03465
20, Laurec  Alain, -14.1, 22.85
23, Roberts  A. J., -17.89028, 31.13833
24, MacKenzie  T., -30.2391, 25.40611
25, Bunder  J. E., -17.89028, 31.13833
27, Saros  Jasmine E., 43.94444, -85.51944
28, Harcombe  William R., -19.8, 32.78333
29, Riehl  William J., 42.57664, 1.51779
30, Dukovski  Ilija, 42.57664, 1.51779
31, Granger  Brian R., 42.57664, 1.51779
32, Betts  Alex, -19.8, 32.78333
33, Lang  Alex H., 42.57664, 1.51779
34, Bonilla  Gracia, 42.57664, 1.51779
35, Kar  Amrita, 42.57664, 1.51779
36, Leiby  Nicholas, -19.8, 32.78333
37, Mehta  Pankaj, 42.57664, 1.51779
38, Marx  Christopher J., -19.8, 32.78333
39, Segre  Daniel, 42.57664, 1.51779
40, Lucia Puertas  Olga, 13.68889, -90.00389
41, Henriquez  Cristian, 13.68889, -90.00389
42, Javier Meza  Francisco, 13.68889, -90.00389
43, Kaneko  Yayoi, -8.4, 147.15
44, Kanda  Em, -8.4, 147.15
45, Tashima  Sara, 44.0, 143.0
46, Masuda  Ryuich, 44.0, 143.0
47, Newman  Christopher, 51.83333, -1.25
48, Macdonald  David W., 51.83333, -1.25
49, Tan  Chin Wee, -18.42263, 29.69904
50, Gardiner  Bruce S., -17.13333, 30.4
51, Hirokawa  Yumiko, -18.42263, 29.69904
52, Smith  David W., -17.13333, 30.4
53, Burgess  Antony W., -18.42263, 29.69904
54, Thompson  Craig K., -32.06987, 115.83757
55, Wayne  Adrian F., -34.59789, 116.26566
56, Godfrey  Stephanie S., -32.06987, 115.83757
57, Thompson  R. C. Andrew, -32.06987, 115.83757
58, Pieroh  Philipp, 51.34198, 12.37498
59, Birkenmeier  Gerd, 51.34198, 12.37498
60, Dehghani  Faramarz, 48.46667, 8.75
61, Folmer  Eelke O., -27.6995, 26.86868
62, Drent  Jan, -27.6995, 26.86868
63, Troost  Karin, 51.4925, 4.05
64, Buettger  Heike, 45.79929, -121.48702
65, Dankers  Norbert, -27.6995, 26.86868
66, Jansen  Jeroen, -27.6995, 26.86868
67, van Stralen  Marnix, 0, 0
68, Millat  Gerald, 53.52344, 8.10746
69, Herlyn  Marc, 53.7072, 7.14695
70, Philippart  Catharina J. M., -27.6995, 26.86868
71, Li  Sen, -25.90866, 24.89688
72, Vanwambeke  Sophie O., -25.90866, 24.89688
73, Licoppe  Alain M., 50.561, 4.697
74, Speybroeck  Niko, -23.37915, 29.14658
75, Iskhakov  I., 45.95678, -122.57093
76, Ribakov  Y., 45.95678, -122.57093
77, de Almeida  Ronaldo, -5.0, -78.0
78, Elias Bernardi  Jose Vicente, 18.44495, -66.38128
79, Oliveira  Ronaldo Cavalcante, 39.02592, -8.25165
80, de Carvalho  Dario Pires, 39.02592, -8.25165
81, Manzatto  Angelo Gilberto, 39.02592, -8.25165
82, de Lacerda  Luiz Drude, 41.69312, -8.20746
83, Bastos  Wanderley Rodrigues, 39.02592, -8.25165
84, Kuhn  Michael A., 39.67861, -104.96944
86, Feigelson  Eric D., 39.67861, -104.96944
87, Getman  Konstantin V., 39.67861, -104.96944
88, Broos  Patrick S., 39.67861, -104.96944
89, Townsley  Leisa K., 39.67861, -104.96944
90, Povich  Matthew S., 39.67861, -104.96944
93, Busk  Heather A., 39.67861, -104.96944
94, Luhman  Kevin L., 39.67861, -104.96944
99, Smith  Martin D., -19.3, 29.65
100, Asche  Frank, 41.39864, -88.61396
101, Bennear  Lori S., -19.3, 29.65
102, Oglend  Atle, 41.39864, -88.61396
103, Borysov  I. D., 40.50602, 43.5952
104, Potseluiev  S. I., 40.50602, 43.5952
105, Yatsenko  T. Yu., 50.45466, 30.5238
106, Sweeney  Stuart, -25.83333, 27.88333
107, Steigerwald  Douglas G., -25.83333, 27.88333
108, Davenport  Frank, -25.83333, 27.88333
109, Eakin  Hallie, -29.03143, 26.15937
110, Smolinsky  Radovan, 49.8233, 13.66545
111, Gvozdik  Lumir, 49.8233, 13.66545
